case,method,length_km,cum_relief_m,net_relief_m,mean_cost,sinuosity,hard_violations,n_points,time_s,dev_hausdorff_km,dev_mean_km,dev_p90_km,dev_max_km,len_err_pct,haus_pct,haus_fwd_pct,worst_err_pct,pass8,is_ai_method
TW173,VIN-Grad,55.403,7989.9,-176.6,2.9737,1.139,0,635,26.24,0.433,0.051,0.153,0.433,0.441,0.785,0.785,0.785,True,
TW173,PPO,55.635,7165.7,-176.6,3.5556,1.144,0,637,0.0,0.459,0.122,0.217,0.459,0.861,0.832,0.832,0.861,True,
TW173,A*(baseline),53.865,6442.0,-176.6,3.4959,1.108,0,616,0.03,0.342,0.114,0.217,0.342,2.348,0.62,0.62,2.348,True,
TW173,VIN-Grad,55.403,,,,,,,,,,,,,,,0.785,True,True
TW58,VIN-Grad,34.393,1936.6,-57.3,3.0179,1.179,0,398,28.94,0.42,0.053,0.116,0.42,1.043,1.234,1.234,1.234,True,
TW58,PPO,34.364,1970.8,-57.3,3.297,1.178,0,398,0.0,0.349,0.088,0.165,0.349,0.958,1.025,1.025,1.025,True,
TW58,A*(baseline),32.904,1561.9,-57.3,3.5261,1.128,0,380,0.02,0.329,0.115,0.26,0.329,3.332,0.967,0.967,3.332,True,
TW58,PPO,34.364,,,,,,,,,,,,,,,1.025,True,True
天輪~龍潭線,VIN-Grad,88.801,15280.0,-291.6,3.4948,1.173,0,1017,19.0,0.6,0.113,0.212,0.6,1.001,0.682,0.682,1.001,True,
天輪~龍潭線,PPO,88.676,15609.0,-291.6,3.2494,1.171,0,1016,0.0,0.424,0.084,0.212,0.424,0.859,0.482,0.482,0.859,True,
天輪~龍潭線,A*(baseline),87.663,13587.2,-291.6,3.7254,1.158,0,1005,0.03,0.424,0.14,0.3,0.424,0.293,0.482,0.482,0.482,True,
天輪~龍潭線,A*(baseline),87.663,,,,,,,,,,,,,,,0.482,True,False
TW59,VIN-Grad,60.734,14326.5,-16.5,3.3695,1.122,0,724,17.83,0.363,0.094,0.181,0.363,0.287,0.596,0.596,0.596,True,
TW59,PPO,61.595,14503.5,-16.5,3.0625,1.138,0,733,0.0,0.363,0.056,0.181,0.363,1.126,0.596,0.596,1.126,True,
TW59,A*(baseline),60.14,13580.9,-16.5,3.5677,1.111,0,717,0.02,0.363,0.118,0.181,0.363,1.263,0.596,0.596,1.263,True,
TW59,VIN-Grad,60.734,,,,,,,,,,,,,,,0.596,True,True
深美～冬山線,VIN-Grad,49.248,7735.6,-20.2,3.4247,1.216,0,561,17.46,1.896,0.148,0.298,1.896,0.501,3.831,3.831,3.831,True,
深美～冬山線,PPO,80.004,16922.4,-20.2,4.3333,1.975,0,964,0.0,3.16,0.709,2.317,3.16,61.637,6.384,6.384,61.637,False,
深美～冬山線,A*(baseline),48.868,7373.3,-20.2,3.0724,1.206,0,559,0.05,0.333,0.062,0.149,0.333,1.269,0.673,0.673,1.269,True,
深美～冬山線,A*(baseline),48.868,,,,,,,,,,,,,,,1.269,True,False
TW102,VIN-Grad,49.647,4493.4,18.7,4.2593,1.107,0,561,18.81,1.905,0.322,1.188,1.905,2.929,3.949,3.949,3.949,True,
TW102,PPO,70.778,6503.2,18.7,3.6056,1.578,0,831,0.0,0.78,0.127,0.221,0.78,46.739,1.617,1.617,46.739,False,
TW102,A*(baseline),47.397,4181.4,18.7,3.2372,1.057,0,534,0.02,0.349,0.082,0.156,0.349,1.735,0.724,0.724,1.735,True,
TW102,A*(baseline),47.397,,,,,,,,,,,,,,,1.735,True,False
TW766,VIN-Grad,57.485,8802.6,-39.2,3.3862,1.085,0,647,19.77,0.552,0.097,0.153,0.552,0.199,0.962,0.962,0.962,True,
TW766,PPO,58.405,9383.5,-39.2,3.2774,1.103,0,659,0.0,0.459,0.085,0.153,0.459,1.802,0.8,0.8,1.802,True,
TW766,A*(baseline),56.823,8730.3,-39.2,3.1189,1.073,0,639,0.03,0.306,0.066,0.153,0.306,0.955,0.533,0.533,0.955,True,
TW766,A*(baseline),56.823,,,,,,,,,,,,,,,0.955,True,False
TW252,VIN-Grad,54.125,5182.3,246.8,3.3098,1.091,0,611,19.13,0.593,0.096,0.233,0.593,0.024,1.096,1.096,1.096,True,
TW252,PPO,54.095,5038.5,246.8,3.5828,1.091,0,610,0.0,0.368,0.129,0.233,0.368,0.031,0.68,0.68,0.68,True,
TW252,A*(baseline),53.863,4823.1,246.8,3.4174,1.086,0,608,0.02,0.465,0.11,0.329,0.465,0.46,0.859,0.859,0.859,True,
TW252,PPO,54.095,,,,,,,,,,,,,,,0.68,True,True
TW769,VIN-Grad,50.129,8670.9,171.3,3.4778,1.103,0,566,20.94,0.46,0.104,0.153,0.46,0.451,0.922,0.922,0.922,True,
TW769,PPO,50.263,9694.5,171.3,3.595,1.106,0,568,0.0,0.46,0.118,0.307,0.46,0.719,0.922,0.922,0.922,True,
TW769,A*(baseline),49.61,8525.1,171.3,3.106,1.091,0,560,0.02,0.307,0.059,0.153,0.307,0.589,0.615,0.615,0.615,True,
TW769,A*(baseline),49.61,,,,,,,,,,,,,,,0.615,True,False
TW345,VIN-Grad,50.784,3731.8,-94.3,3.7686,1.077,0,583,28.85,0.29,0.133,0.205,0.29,0.591,0.568,0.568,0.591,True,
TW345,PPO,51.12,3584.3,-94.3,3.115,1.084,0,588,0.0,0.29,0.055,0.145,0.29,0.067,0.568,0.568,0.568,True,
TW345,A*(baseline),50.494,3255.5,-94.3,3.7348,1.071,0,580,0.02,0.649,0.129,0.29,0.649,1.159,1.27,1.27,1.27,True,
TW345,PPO,51.12,,,,,,,,,,,,,,,0.568,True,True
明潭-鳳林線,VIN-Grad,71.064,21995.6,268.1,2.9382,1.193,0,842,13.78,0.395,0.04,0.197,0.395,0.662,0.56,0.56,0.662,True,
明潭-鳳林線,PPO,73.23,22756.5,268.1,3.233,1.23,0,867,0.0,0.395,0.075,0.197,0.395,3.73,0.56,0.56,3.73,True,
明潭-鳳林線,A*(baseline),68.533,19332.4,268.1,3.1293,1.151,0,814,0.02,0.592,0.063,0.197,0.592,2.924,0.839,0.839,2.924,True,
明潭-鳳林線,VIN-Grad,71.064,,,,,,,,,,,,,,,0.662,True,True
TW311,VIN-Grad,72.985,1248.5,205.3,3.1385,1.238,0,866,12.42,0.56,0.068,0.198,0.56,2.56,0.787,0.787,2.56,True,
TW311,PPO,71.364,1329.3,205.3,3.6548,1.21,0,847,0.0,0.885,0.132,0.28,0.885,0.282,1.244,1.244,1.244,True,
TW311,A*(baseline),70.206,986.6,205.3,3.2717,1.19,0,834,0.03,0.56,0.084,0.198,0.56,1.345,0.787,0.787,1.345,True,
TW311,PPO,71.364,,,,,,,,,,,,,,,1.244,True,True
